"";"Peso(kg)";"Talla(mts)";"tallasentado(cms)";"Pli.Biceps";"Pli.Tric";"Pli.Subesca";"Pli.Crestailiaca";"pli.Supraespinal";"Pli.Abd";"Pli.Muslo";"Pli.Pantorrilla";"Peri.Brazorelax";"Peri.Brazoflex";"Peri.Cintura";"Peri.Cadera";"Peri.Pantorrilla";"Diam.Humeral";"Diam.Femoral";"wells1";"wells2";"wells3";"Dina.der1";"Dina.Izq1";"Dina.der2";"Dina.Izq2";"SaltoH1";"SaltoH2";"20mtetros1";"20mtetros2";"Agilidad1";"Agilidad2";"Leger";"Sexo";"Estrato";"Edad"
"2069";33,4;1,415;71,8;6;14;11;18;7;13;14;12;21,3;22,5;61;70,6;26,1;5,7;8,2;-11;-9,5;-8;13;14;14;13;152;154;4,44;4,19;12,94;12,81;6;"masculino";1;11
"2070";48,1;1,569;77,9;6;13;9;14;9;14;21;13;23;24,8;63,9;75,6;33,5;6,5;8,6;-7,5;-6;-4,5;18;19;16;22;119;99;4,78;4,56;13,72;14,03;2;"masculino";2;12
"2071";28;1,415;69,9;7;11;8;20;8;16;20;8;18,5;19,2;54,1;66,1;26,4;5,3;7,6;0;0;2;9;9;9;9;118;132;4,88;4,72;13,9;13,69;3;"femenino";2;12
"2072";50,6;1,497;74,8;8;18;17;25;20;32;24;16;26,9;28;75,2;85,4;32,1;6,1;9,6;10;3;3,5;22;24;24;24;147;150;4,66;4,44;14,91;14,5;2;"masculino";1;11
"2073";45,2;1,454;71,1;10;16;15;21;18;31;34;18;24,4;25,8;68;85;34;6;9;2;-3;1,5;14;15;16;17;131;120;5,18;4,5;12,81;12,97;1;"masculino";2;10
"2074";27,1;1,375;69;5;8;5;8;6;9;15;7;17;18,5;56,2;61;23,9;5,1;7,4;4;2;3,5;9;10;8;9;103;100;5,12;5,22;14,22;14,31;3;"masculino";2;10
"2075";43;1,43;75,3;11;17;12;20;13;22;25;19;24,7;25,2;62;76,6;33;6,4;4,7;1;2;4;15;15;14;14;158;162;4,84;4,86;12,62;13,12;4,5;"masculino";2;13
"2076";24,6;1,314;65,3;8;16;10;20;7;15;18;7;19,6;19,9;52,1;65;23,6;5,3;7,1;6;6;5;7;7;7;5;116;120;5,34;5;14,41;15,06;3;"femenino";2;11
"2077";27;1,339;68,3;5;11;5;8;5;6;15;8;19;19,2;62,7;63,1;25,5;5,1;7,4;-0,5;4;4,5;10;10;10;9;112;130;4,62;4,87;14,5;14,12;1,5;"femenino";2;11
"2078";35,8;1,41;70;11;16;9;25;15;18;22;13;22,6;22,8;59,1;74;28,6;5,3;7,8;-7;-7;-7,5;14;12;12;10;118;120;4,81;5,13;15,1;13,81;2;"femenino";2;11
