"";"Peso(kg)";"Talla(mts)";"tallasentado(cms)";"Pli.Biceps";"Pli.Tric";"Pli.Subesca";"Pli.Crestailiaca";"pli.Supraespinal";"Pli.Abd";"Pli.Muslo";"Pli.Pantorrilla";"Peri.Brazorelax";"Peri.Brazoflex";"Peri.Cintura";"Peri.Cadera";"Peri.Pantorrilla";"Diam.Humeral";"Diam.Femoral";"wells1";"wells2";"wells3";"Dina.der1";"Dina.Izq1";"Dina.der2";"Dina.Izq2";"SaltoH1";"SaltoH2";"20mtetros1";"20mtetros2";"Agilidad1";"Agilidad2";"Leger";"Sexo";"Estrato";"Edad"
"977";54,7;1,58;78;14;22;21;35;29;34;38;31;26,5;26,9;76;91;33,5;6;9,1;5;3,5;5;14;20;18;20;154;157;4,16;4,37;14,65;13,37;3,5;"masculino";2;12
"978";38,9;1,565;80,7;5,5;8,5;6;10;5;8;14;9;19,3;20,8;61,5;76,4;27,8;6;9,4;-0,6;-0,7;-0,6;14;10;12;10;137;149;5,28;5,25;18,78;17,5;2;"masculino";2;13
"979";32,2;1,371;71,2;4;9;7;9,5;5,5;9;16;7;19,8;20,4;57,3;69,3;28,5;5,7;8,2;-0,3;2,5;-0,2;15;16;12;16;151;167;4,41;4,25;12,84;13;2;"masculino";2;12
"980";33,4;1,454;75,5;11;11;8;20;10;14;10;11;20;20,4;55,1;74;27,3;5,5;8,2;-0,1;1;2;11;11;11;11;77;100;5,44;5,5;16,88;16,22;1,5;"femenino";2;13
"981";39,9;1,505;81,5;8;17;16;18;12;17;31;14;22,7;23,5;58,8;81,8;28,5;5,7;7,6;-0,2;2;5;14;16;18;13;100;109;5,5;5,47;17,29;18,22;1,5;"femenino";3;12
"982";43,3;1,533;80,5;9;18;17;22;10;25;18;13;22,6;24,8;65,6;78,6;30,8;6,2;9,1;-0,8;-0,25;-0,55;12;11;12;14;120;139;4,91;4,81;15,91;13,06;3;"masculino";2;12
"983";33,1;1,454;73,5;5;11;7;10;5;7;14;7;20,4;20,6;56,1;71,6;28,6;6;8,5;-0,4;-2,5;-0,5;14;18;16;20;156;142;4,75;4,97;17,25;17,69;3;"masculino";2;12
"984";46,1;1,509;82,5;6;14;11;17;11;18;27;15;23,8;24,5;63,5;86;31,5;5,7;8,2;3,5;7,5;5;22;19;25;18;147;161;4,19;4,41;14,19;13,87;1,5;"femenino";2;13
"985";59,9;1,577;83,5;6;16;17;27;18;25;25;17;28,5;29,7;71,7;98,5;34;6,2;6,4;12;14,5;15;22;22;17;16;163;162;4,38;4,41;13,97;14,19;1,5;"femenino";2;13
"986";39,5;1,459;75,8;6;11;8;23;9;13;16;14;22;22,8;67;77,1;29,2;6;9,1;6;7,5;8;14;20;15;18;151;157;4,56;5;14,72;14,41;5;"masculino";2;12
"987";62,5;1,599;88,2;11;19;15;22;15;21;23;18;27,5;28;65,5;100,5;37;6,2;9,9;4;6;8;24;22;22;26;140;153;4,16;4,03;13,19;12,68;4;"femenino";3;13
"988";56,3;1,533;79,5;18;23;19;32;22;32;41;34;26,3;27,4;69,4;97;36;6;9;6,5;7,5;8;18;16;14;16;121;115;4,91;5,31;15,91;15,28;2;"femenino";1;13
"989";43,6;1,579;78,3;12;13;11;19;12;21;23;14;22,5;24,6;62,4;81,7;29,8;6;9,5;-11,5;-10;-9;18;14;18;17;167;177;4;4,12;12,6;12,47;6;"masculino";2;14
"990";41,9;1,505;79;3;7;6;6,5;5,5;6,5;11;7;22,8;25,3;62,7;76,8;31,4;6,7;9,5;0;2;3;28;25;26;24;147;166;4,38;4,63;11,53;12,93;7;"masculino";3;13
"991";39;1,574;68,9;5;8;7;10;6,5;10;12;7;20,5;21,8;61,8;76,4;28,7;5,9;8,6;-3,5;-4;-4,5;12;12;16;12;165;183;3,88;3,82;11,63;11,22;6;"masculino";2;14
"992";39,7;1,484;74,7;6;10;7;10;5,5;8;13;11,5;21,7;23,5;65;76,7;29,3;6,6;9,3;4;2;1;12;18;14;16;145;153;3,84;4,06;12,16;11,69;6;"masculino";2;14
"993";57,2;1,672;85,9;6;12;10;16;11;15;18;12;25,4;27;71,2;89,6;35,7;6,6;9,7;3;7;7,5;28;32;26;32;205;200;3,63;4,12;13,06;12,84;6,5;"masculino";2;7
"994";64,7;1,646;84,5;11;22;22;30;22;28;32;22;27;27,8;75,8;98,2;32;6,4;9,4;5,5;4,5;6;18;15;18;16;120;122;4,75;4,65;15,09;15,62;1;"femenino";2;14
"995";34,6;1,444;75;7;14;8;22;12;18;18;12;21;22,2;56;76,1;29;5,6;8,4;1;2;3;13;16;13;16;148;140;4,37;4;13,44;13,5;3,5;"femenino";3;13
"996";46,3;1,53;79,2;9;12;10;24;16;22;19;16;24,2;25,4;66,5;83,3;29,8;6,3;9,1;4;6;6,2;16;16;18;18;119;140;4,93;4,88;14,88;14,72;2,5;"femenino";3;13
"997";37;1,5;79,9;8;16;12;20;14;24;25;15;24,4;24,8;59;86;33;6;8,4;-2;1;1;20;20;22;18;120;115;4,78;5,22;14,62;14,69;1;"femenino";2;14
"998";66,1;1,588;82,9;18;21;30;32;26;36;37;23;28,8;29;79,5;99,5;35,2;6,2;9,4;-2,2;1;5;22;20;20;17;124;133;4,44;4,47;14,97;15,25;2,5;"femenino";2;13
"999";49,5;1,61;81,4;4;7;6,5;8;5,5;8;11;8,5;21,9;23,5;61,5;79,3;31,7;5,9;9;-8,3;-7;-7,5;22;20;18;18;141;119;3,87;3,66;11,88;11,37;7,5;"masculino";2;13
"1000";37,7;1,476;76,5;6;8;7;14;8;12;16;8,5;20,6;22,4;62,2;74,7;29,5;6,1;9,1;-0,2;0;1;20;18;14;16;130;142;4,47;4,69;14,41;14,28;3,5;"masculino";2;15
"1001";40,2;1,516;77,5;9;11;11;18;11;14;21;10;21,4;21,8;62,5;78;28,8;5,8;8,4;-0,5;-0,2;-0,5;18;18;18;15;130;137;4,59;4,66;14,56;13,72;5;"femenino";2;13
"1002";73,7;1,675;87,2;15;27;30;33;28;37;38;28;29,9;31,3;83,5;99,7;38,5;7,5;10;-1;1,5;3;24;24;22;22;123;123;4,69;4,29;14,38;14,25;4;"masculino";2;14
"1003";44,5;1,522;75,4;9;16;8;21;23;24;21;11;24,1;25,2;67,8;81,4;32,7;6,2;9,1;-0,4;0;0;14;15;16;12;157;164;3,87;4,01;14,29;13,31;6;"masculino";2;13
"1004";38,3;1,541;78;3,5;7;6,5;9,5;4;6;13;8;21;22,8;57,3;73,2;29,5;6,3;8,7;2;2,5;4;21;22;18;23;170;189;3,85;3,87;12,68;13,44;6,5;"masculino";2;12
"1005";37,5;1,562;77,2;3,5;10,5;6;6;3,5;7;10;4;19,2;20,8;61;72,3;28,7;6;9;-0,3;0,5;0;14;16;15;14;179;194;3,97;4,1;14,38;15;4,5;"masculino";2;14
"1006";51;1,576;80,9;9;19;10;23;14;26;32;18;24,7;25,6;65,6;88,6;32,8;6,5;10;4;4;5,5;17;22;12;20;143;150;4,4;4,22;13,15;13,34;4;"masculino";3;13
"1007";46,1;1,545;74,6;8;14,5;10,5;26;14;24;23;13;23,1;23,8;67,8;81,7;30,8;6,5;9,5;-0,5;1;3;16;18;18;14;135;164;4,91;4,65;14,94;15,07;4,5;"masculino";3;13
"1008";57,8;1,646;84,9;7;12;12;18;10;20;16;15;24,6;26,5;67,6;86;33;6,6;9,4;-0,4;-0,35;-0,25;23;24;22;23;167;177;4,07;4,1;12,63;12,38;7;"masculino";2;9
"1009";66,8;1,605;80;20;24;27;32;27;35;42;34;31;31,8;80,2;97,2;38;7,5;10,6;-0,1;-0,1;0,5;22;22;20;19;129;132;4,9;5,22;13,63;13,97;2,5;"masculino";2;13
"1010";49,3;1,6;82,1;4;7;7;12;6;12;13;6;23;26,2;68;82;32,3;6,7;10,1;1,5;3;8;22;24;26;24;184;197;4,21;4,19;11,22;11,07;5,5;"masculino";3;14
"1011";49,7;1,586;82;7;12;12;22;17;22;22;12;24,5;25,3;69,7;84;31,8;6,9;9,5;1;0,5;3;18;22;20;22;167;172;4,25;4,47;11,5;11,22;4,5;"masculino";2;14
"1012";37,2;1,477;73,8;7,5;13;8,5;12;7;12;15;7;22;22,8;60,6;75;28,8;6,1;8,9;1;1;2;16;16;16;16;153;163;4,63;4,44;11,85;11,65;4,5;"masculino";2;13
"1013";30;1,365;69,7;3,5;9,5;7;9;5,5;7;19;10;19;20,3;56,5;68;27,3;5,5;8;-0,35;-0,5;-0,5;11;10;10;9;144;154;4,72;4,6;13,31;13,5;6;"masculino";2;13
"1014";46;1,571;80,5;6,5;11;7;8;4,5;6,5;15;11;22,6;25;66;81;32,2;6,5;9,2;3,5;2;3,5;20;22;21;21;170;181;3,56;3,78;10,87;10,66;6,5;"masculino";2;14
"1015";48,7;1,558;82,8;5;11;8;14;8;12;17;12;24;26,5;65;83;31,7;6,8;9,9;2;2;3;25;26;23;27;177;171;3,63;3,69;11,44;10,78;6,5;"masculino";2;14
"1016";35,5;1,526;77,2;4;7;6,5;9;5,5;9;14;9;20,6;22,8;59,7;73,8;28,3;6;9,2;-1,5;0;0;20;16;20;14;153;172;4,57;4,22;13,96;12,6;4;"masculino";2;13
"1017";40,2;1,604;77,3;5;8;6;8;5,5;7;14;10;18,7;20,7;60,7;75,6;30,3;6,5;9,6;-8,5;-7,5;-7;12;12;10;12;125;150;4,62;4,68;13,34;13,65;4;"masculino";2;13
"1018";49;1,615;74,5;7;12;10;15;13;19;28;17;21,7;23;63;85,5;33,3;5,8;8,6;-9;-2;1,5;20;20;18;18;73;100;4,88;4,62;14,84;13,81;2;"femenino";3;13
"1019";79,6;1,586;83,5;13;26;35;49;37;46;25;21;33,8;35,4;96,4;107,9;38,5;6;10;-0,1;-0,1;-0,1;26;22;26;22;114;105;4,87;4,91;15,07;14,63;1,5;"masculino";2;14
"1020";69,6;1,85;96;8;17;24;27;19;27;25;16;27,2;29;74,6;93;34,4;6,9;9,8;-20;-20;-20;32;30;30;28;121;120;4,87;4,65;15,57;15,62;2,5;"masculino";2;13
"1021";74,2;1,891;93,1;8;13;13;15;8;13;13;11;27,3;29,6;72,6;93,9;36,5;7,4;10,1;4,5;5,5;7;23;25;16;20;200;208;3,4;3,58;12,69;11,28;6;"masculino";2;15
"1022";72,5;1,712;91;9;22;26;30;17;22;42;19;30,1;31,5;73,5;102;39,3;6,3;9,2;8;9,5;12,5;23;26;21;23;132;120;4,66;4,53;14,81;14,06;1,5;"femenino";2;15
"1023";54,2;1,615;86;8;16;13;28;20;30;22;17;24;24;67;92,8;32,6;6,1;8,6;-7,5;-6,5;-0,5;23;24;20;21;125;120;5;5,44;13,84;13,78;3,5;"femenino";2;15
"1024";66,5;1,656;87,8;15;20;25;28;25;29;20;21;26,7;27,2;81,6;96,6;36,9;6,4;10,3;-0,1;1,5;4;30;30;26;31;163;160;4,47;4,59;15,25;15,37;2,5;"masculino";3;15
"1025";54,5;1,635;82;4;10;9;12;8;9;14;11;24,8;25,5;73,9;91,2;33;7;9,8;1;3;2,5;24;24;25;22;162;157;4,37;4,72;15,47;14,43;5;"masculino";2;15
"1026";66,9;1,615;85;12;17;25;23;14;19;33;26;27,2;27,8;74;102;36,5;5,3;8,4;6;9;7;18;20;24;19;123;132;5,53;5,69;17,03;16,38;1;"femenino";3;14
"1027";40,4;1,579;85,5;4;10;9;14;8;13;19;6;22,4;23,2;55,9;80;27,5;5,7;8,1;6;7,5;8;21;18;20;17;146;164;4,54;4,66;15,28;15,18;3,25;"femenino";2;15
"1028";68,4;1,679;86;10;16;13;21;16;23;17;12;29,8;31,3;76,4;96,1;36,9;7;10;1;2,5;3,5;36;26;34;22;125;145;3,5;3,56;11;10,72;5,5;"masculino";3;14
"1029";43,7;1,525;80,3;12;15;11;19;17;25;22;15,5;23,2;23;60;85,4;30,4;5,9;8,2;1;1;2,5;14;14;12;13;113;117;4,94;4,93;16,38;14,75;3,5;"femenino";2;14
"1030";48,8;1,605;81,5;7;9,5;7;19;8;16;11,5;12;23,5;24,7;64,1;83,8;31,5;7;10,2;0;0;0;25;27;26;24;156;156;4,25;4,37;13,78;14,37;2,5;"masculino";3;15
"1031";43,5;1,442;77,2;13;18;21;25;17;29;22;12;27,3;28,2;72,4;82;31,5;6;9;3,5;3;3,5;16;18;16;16;132;135;5,09;4,97;12,09;12,81;1;"masculino";2;13
"1032";48,5;1,645;81,5;3;7;7;11;7;10;7;9;23;24,1;68,2;80,8;32,5;6,4;9,3;-11,5;-11;-10,5;20;20;18;22;155;173;3,87;4;12,85;12,87;6;"masculino";2;15
"1033";51,2;1,657;83;6;11;11;19;11;16;13;10;23,7;25,5;71,4;84,8;32;6,2;9,3;-0,9;-0,45;-0,5;28;22;24;22;146;154;4,09;4,16;13,53;13,81;6,5;"masculino";3;14
"1034";71,5;1,885;81;7;11;14;23;14;21;13;9;27,1;29;78;97,3;36;7,3;10,5;2;3;3,5;28;34;28;28;190;200;3,5;3,46;11,72;10,72;7,5;"masculino";2;14
"1035";32,5;1,226;65,3;16;26;26;31;24;34;27;19;23,1;23,5;66;76;27;5,3;7,8;5;6;5;8;7;7;9;87;88;4,53;4,44;15,93;14,99;1;"femenino";3;8
"1036";22,1;1,195;64,9;8;10;7;12;7;11;18;10;17;17,5;53;63,8;22,9;5,1;7;2;5;4;8;9;7;7;91;107;5,15;5,35;18,59;16,75;2;"femenino";2;6
"1037";20,8;1,169;61;3,5;6,5;5,5;7;5,5;8;11;7;17;18;53;58,5;22,6;5,1;7,1;7;7;7;8;8;10;8;85;86;5,25;5,41;16,31;15,32;1,5;"masculino";2;6
"1038";21,6;1,099;59,2;8;12;8;17;8;11;21;15;20;20;56,5;62;25,5;4,8;6,4;0,3;1;3;7;7;5;8;92;100;5,44;5,53;17,5;17,13;1;"femenino";3;7
"1039";25,4;1,149;62,5;14;18;16;23;16;18;20;16;21;21;60;69,5;24,8;4,9;7;7;8;8;6;8;6;8;82;82;5,56;5,65;19,94;17,62;1;"femenino";3;6
"1040";22,9;1,175;63,9;8;13;8;14;9;16;17;9;17,7;18,3;49,5;63,3;23,4;4,9;7,2;9;7;6;4;6;7;7;82;86;5,03;4,94;17,32;17,32;1;"femenino";2;6
"1041";24,5;1,274;66,5;6;10;6;15;6;10;12;9;17,7;18,8;56,1;63;23,2;5;7,3;1;4;4;5;10;6;10;86;87,2;5,44;5,47;20,31;21,1;1;"femenino";3;7
"1042";22,7;1,209;66,5;8;10,5;8;14;9;11;17;9;17,3;17,9;52;64,5;24,1;5;7,3;2;6;7;4;6;4;6;82;83;5,53;5,53;19,71;19,78;1;"femenino";3;7
"1043";30,3;1,225;65,1;8;17;11;24;14;20;18,5;13;20,5;21,1;65;71,1;27;5,1;7,8;1;2;2;7;8;5;8;97;76;5,31;5,37;18;20,93;1;"femenino";2;6
"1044";23,1;1,236;63,8;7;11;7;12;6;9;19;8;16,3;17,2;50,3;63,4;24;5,1;7,3;0,1;0,1;0;9;9;8;9;113;118;4,59;4,88;17,91;18,09;1,5;"femenino";2;7
"1045";22,6;1,15;61,5;5;8;7;8;6;10,5;13;10;18,5;19,4;54,2;63,5;24,2;5,1;7,3;0,5;0,6;0,5;6;7;3;6;85;77;5,34;5,22;20,4;19,32;1;"femenino";2;7
"1046";22,3;1,156;63,5;9,5;13;7;16;8;16;21;14;18,5;18,5;59,5;64,6;24,1;4,8;7;8;10;10;12;12;5;6;81,2;81,2;6,22;6,03;19,09;20,12;1;"femenino";3;6
"1047";23,6;1,216;65,6;6;7;5,5;7;5;7;12;6;17,2;18;56;62,5;24,6;5,3;8;3;4;3;5;5;5;5;81,2;92,2;5,56;5,25;22,68;20,15;1,5;"masculino";3;7
"1048";29,8;1,266;67,3;8;12;7;20;10;15;22;12;24;21,5;62;70;26,9;5;8;0,5;0;1;10;8;4;4;95;91;5,69;5,25;18,41;16,19;1,5;"masculino";3;7
"1049";27,7;1,232;62,1;6;13;7;13;5;11;18;12;21;21;57;69;28,4;5;7,6;2;4;1,5;6;6;10;8;79;87;5,22;4,9;19,75;15,5;2,5;"masculino";3;6
"1050";22,6;1,185;63;4;8;5;7;3,5;7;12;6;17;17,5;54,4;65;23,8;4,5;7,5;4;2;2;2;4;4;4;85;90;5,68;5,16;15,84;15,15;2,5;"masculino";3;6
"1051";23,1;1,181;62,3;8;10;7;12;6;10;17;10;19;20;58,5;62,4;25,2;5;7,5;1;0;1;6;7;7;8;102;95,2;4,9;4,97;15,19;15,16;2,5;"masculino";3;6
"1052";21,8;1,214;65;4;7;6;8;3,5;7;12;5;17;18;52,2;60,9;23,2;4,9;7,8;2;3;3;10;8;9;9;133;93;4,5;4,41;14,4;14,37;1,5;"masculino";2;7
"1053";23,9;1,215;64,4;3,5;6;5;5,5;3,5;5,5;12;10;17,1;18,8;50,6;64,2;26,1;5;7,9;6;5;6;16;11;12;10;103;116;4,47;4,81;15,25;15,72;1;"masculino";2;7
"1054";19,9;1,18;63,6;3;7;4;5;3;5,5;8;6;16,5;16,8;53,3;58,5;22,2;4,6;7,4;3;2;2;8;9;8;10;80,2;102;6,03;5,5;15,84;16,14;3;"masculino";3;6
"1055";31,2;1,225;67;9;17;15;25;16;21;26;13;22;22,5;69,5;74,5;27,7;5,2;8,1;1;0;2;10;9;10;7;77,1;82;6,13;5,84;17,44;17,53;1;"masculino";3;6
"1056";26,1;1,225;64,9;9;13;10;20;13;17;17;9;21,4;22;57;67;25;5,3;7,6;1;2,5;3;2;2;4;2;92,1;109;4,63;5,06;16,43;16,21;1;"masculino";3;7
"1057";20,8;1,198;64,4;3,5;6;5;5;3;5;8;7;25,7;26,5;52;61;23,2;4,9;7,4;2;1;1;9;9;10;7;89,4;101;4,78;5,38;15,43;14,9;3;"masculino";2;7
"1058";23,9;1,226;63;4;6;5;6;4;6;11;7;17,7;19;56,3;62,9;24,7;5,4;7,5;0,5;0,2;0,3;6;9;8;8;105;94,3;4,56;4,78;16,81;15,06;3;"masculino";2;7
"1059";26,5;1,2;62,6;9;12;9;19;14;20;19;12;19,5;20;60;68,5;24,5;5,3;7,6;2;1;2;7;8;10;8;108;106;5,03;5,4;16,06;15,78;1;"masculino";3;6
"1060";23,2;1,176;60;7;12;7;15;8;11;17;12;17,5;18;57;64,2;25,7;5,2;7,5;0,4;0,5;0,1;10;8;9;9;78;75,4;5,72;6,04;19,54;17,94;1,5;"masculino";3;6
"1061";23,1;1,17;61,3;8;11;7;14;8;15;14;10;19;19,5;56,7;63,3;24,4;4,4;7,5;1;1;1;7;7;6;6;92;100;5,72;5,34;17,31;16,34;1,5;"masculino";2;16
"1062";20,4;1,136;62,9;5;7;5;6;4;6;12;7;16,8;17,5;51,2;59;24,7;4,6;7,4;1;0,4;0,4;6;6;6;6;82;86,3;5,84;6;21,56;20,28;1,5;"masculino";2;6
"1063";17,9;1,144;60;5;9;6;11;6;8;11;7;16,4;16,5;49,5;56,5;20,4;4,5;6,6;0,4;0,3;0,4;6;5;7;7;85;70;5,31;5,6;17,37;17,06;1;"femenino";3;7
"1064";34,2;1,172;64;15;18;20;26;20;26;32;21;25;25;69;77,1;30;5,3;7,7;0,4;3;3;7;7;7;5;95;91;5,31;5,35;14,81;15,84;1,5;"femenino";3;7
"1065";22,2;1,184;62,5;6;11;6;11;7;10;19;10;17,5;18,5;50,5;65;25,5;4,7;7,3;2;5;2;5;5;5;5;80;90;5,12;5,34;15,72;14,43;1,5;"femenino";3;8
"1066";40,7;1,246;67,5;18;23;20;28;26;32;37;30;26;26,5;77;86;34;5,5;8,5;4;6;5;8;8;9;10;80;100;5,25;5,25;15,87;15,75;1;"femenino";3;8
"1067";27,9;1,263;62,9;9;14;9;18;14;22;20;24,6;29;21,6;58,1;70;24,6;5;7,3;1;2;4;4;5;4;4;81;108;5,35;5,18;17,5;16,44;2,5;"femenino";3;8
"1068";25,3;1,232;64,8;7;17;11;22;17;16;16;11;19,7;21;58;66;24,5;5;7,4;7;6;4;7;10;8;7;100;115;5,35;5,22;20,22;16,6;3;"femenino";3;8
"1069";22,1;1,26;63;7;11;8;13;8;14;17;10;17;17,5;53;63;23;4,9;7,1;0,1;1;0;7;7;5;5;85;100;5,47;5,6;20,44;19,78;1;"femenino";2;8
"1070";44,1;1,328;71,2;20;26;24;32;29;29;36;23;26,5;26,6;73,4;85,5;31,8;5,9;8,5;0,8;0,4;1;7;8;6;5;97;84;5,66;5,81;18,65;19,75;1;"femenino";2;8
"1071";23,6;1,215;64,5;6;12;7;12;5,5;8;20;10;18,3;19;56;64;25;5;7,4;10;10;12;4;4;6;4;120;100;4,3;4,2;14,75;15,63;2,5;"femenino";2;7
"1072";23,7;1,233;64,4;7,5;13;11;22;10;16;16;16;19;19,5;55,7;64,5;24,4;5,3;7;3;2;0,1;9;8;7;9;90;90;4,53;4,69;16,69;15,84;1,5;"femenino";2;7
"1073";31,7;1,215;67;15;18;17;31;18;26;29;27;22,5;22;66;76,7;28,9;4,9;7,3;14;13;14;9;9;7;9;84;71;5,56;5,4;6,31;16,5;1,5;"femenino";3;7
"1074";27,3;1,257;76,8;6;10;7;9,5;7;12;15;8,5;19,5;20;63;68,5;26,3;5,5;8;0,1;0,1;0;16;16;14;13;100;150;5;4,47;15,21;15,31;2;"masculino";3;8
"1075";21,7;1,138;59,4;5,5;10;7;11;7;9;15;7;17,5;17;56;61;22,9;4,5;7,2;0,6;0,4;0,2;6;6;7;7;86;100;5,87;5,66;17,01;16,44;1;"masculino";3;7
"1076";23;1,228;65,8;4,5;8;5,5;6,5;5;7;8;7;17,6;18,5;54,5;61;23,7;5,3;7,4;3;1;5;8;7;7;8;110;120;5,22;4,88;16,56;17,09;4;"masculino";2;8
"1077";22,09;1,2;63,6;4;7;6;8;5;6;11;7;17,5;18;59,5;60;23,4;5,3;7,4;1;3;4;9;7;9;7;120;110;5,03;5;13,91;14,5;2;"masculino";2;7
"1078";37,5;1,319;70,5;10;16;14;24;19;23;25;18;24,5;24;73,5;78;32;5,6;8,7;0,2;4;2;12;12;9;9;129;110;5,53;4,34;18,25;16,41;1,5;"masculino";3;8
"1079";31,4;1,244;66,9;10;16;13;30;18;21;19;18;22;22,5;64,4;71;28;5,3;8;0,5;0,5;0,5;5;6;7;7;83;83;5;4,84;16,96;20,56;1;"femenino";3;7
"1080";18,3;1,175;63,4;4;7;5;7;4;6;11;6;13,5;14,2;49,8;56,9;20,8;4,7;6,9;2;5;6;4;2;4;4;93,3;92;5,13;5,38;16,94;17;1;"femenino";3;7
"1081";25,1;1,196;61,4;9,5;13;7;16;8;15;21;13;20,1;20,1;56;68,8;26;5;7,5;0,5;0,5;0,2;5;5;5;5;68,3;53;5,15;6,07;15,47;16,16;2;"femenino";2;8
"1082";33,4;1,209;64,5;21;23;21;28;18;23;27;20;23,6;24;68;76,6;27,6;5,4;8;7;4;5;6;5;7;4;54;63;5,68;5,94;17,91;17,97;1;"femenino";3;7
"1083";31,4;1,176;64,5;14,5;16;14;25;16;22;25;16;23,2;23,5;68,2;75,5;27,6;5,4;7,6;0,1;5;6;7;8;9;11;79;97;5,68;6,25;20,97;19,57;1;"femenino";3;7
"1084";18,7;1,146;58,2;6;12;14;6;7;10;21,5;8;16,2;16,8;51,5;59,5;22;4,6;7,1;6;7;7;7;7;7;7;82;75;6,03;5,22;18,32;18,72;1;"femenino";3;6
"1085";19,3;1,185;61,9;5;9;5;8;5;8;11;6;16;17;51,4;60;22;5,1;7,3;2;4;5;5;8;7;6;105;108;4,66;4,91;17,44;16,81;2;"femenino";2;7
"1086";28,5;1,241;67,4;12;16;12;26;16;19;23;16;21,3;21,4;63,4;71,5;21;5,2;7,9;7;7;10;7;9;9;9;75;99;4,81;4,94;20,44;17,72;1;"femenino";3;7
"1087";25,7;1,234;65,2;7;12;6;17,6;8;12;21;11;18,9;19,6;55,5;67,7;26,2;5,5;7,6;4;4;4;11;6;10;10;124;113;5,03;4,25;16,06;16,1;2;"femenino";3;8
"1088";27;1,21;66,5;5,5;10;7;12;7;11;17;8;19,5;20;59,7;69,5;25,3;5;7,3;2;3;3;7;7;8;8;84;105;5,4;4,84;18,94;15,97;1,5;"masculino";3;7
"1089";25,7;1,255;65,5;6;7;5,5;7;6;8;12;9;19;19,5;55;69;24,5;5,8;8,3;1;2;3;12;10;13;10;87,9;86,4;4,94;4,68;14,25;13,97;2,5;"masculino";2;7
"1090";28,5;1,281;68,6;6;11;8;18;9;20;19;10;20;20;57,8;70,5;27,3;5,4;8,5;0,2;0,3;0,2;10;10;10;10;99;107;4,56;4,57;14,03;14,09;4;"masculino";3;7
"1091";23,1;1,141;60,5;5,5;10;7;8;6;11;12;9;19,2;20,5;55,6;64;24,5;5,2;7,9;0,4;0,3;0,4;8;4;6;4;96,3;77,3;5,04;4,72;14,67;15;1,5;"masculino";3;7
"1092";25,9;1,222;64,1;4,5;8;6;7;5;7;15;9;20,2;20,3;55,3;65,5;25,9;5,2;8;0;2;1;14;12;14;13;81;74,1;4,69;4,72;14,78;15,44;2;"masculino";2;7
"1093";26,5;1,16;64;5;10,5;7;11;6;10;16;9,5;20,5;20,5;58;69,5;27,6;5,2;7,9;4;6;7;6;7;7;6;71,3;69;5,75;6,41;21;21,18;1,5;"masculino";2;7
"1094";28,5;1,302;69,8;7;8;7;10;5;9;12;7;18,5;20;53,5;69,5;25,4;5,3;7,9;0,1;0,2;2;10;10;9;10;97,4;100;4,5;5,04;13,88;14,47;2;"masculino";2;9
"1095";26,2;1,249;63;6;6;6;10;5;7;10;8;18;19;57,5;63,2;24,7;5,1;8;0,4;0,5;0,3;7;7;7;7;106;81;5,53;5;18,72;17,93;1;"masculino";3;9
"1096";26,7;1,236;67;4;9;6;8;4;7;4;5;19;20;56;66;27,5;5,2;8,3;6;8;9;14;16;12;14;140;147;4;4,03;13,4;13,66;1,5;"masculino";3;8
"1097";29,4;1,404;71;5;7,5;5,5;11;5,5;9;10;7;17,4;18,5;57,5;69,5;26;5,4;8,5;5;1;3;7;7;10;10;112;131,4;4,28;4,1;13,82;12,78;2;"masculino";3;9
"1098";33,6;1,372;69,3;13;16;11;21;17;21;22;15;21;21,8;63;72;28,6;5,6;8,1;11;12;11;9;13;10;12;118;104;4,63;4,63;15,53;15,07;4,5;"masculino";2;9
"1099";34,4;1,364;70;11,5;14;12;25;14;22;27;18;22,6;22,5;61,5;74,5;29;5,5;7,9;2;2;2;14;11;10;8;75,4;91;4,72;4,84;17,04;15,32;2;"masculino";3;9
"1100";26,6;1,26;65,6;12;14;7;20;10;17;22;10;20,5;21;55;69,5;25,4;5,3;7,5;0;0;-2;10;10;10;9;100;112;4,47;4,54;16,69;16,12;1;"femenino";3;8
"1101";31,8;1,305;76;11,5;15;15;32;18;24;25;17;20,2;21;62;74,7;27,2;5,2;7,9;-2;-1;-1;10;7;9;8;85;82;5,25;5,69;17,66;17,66;1;"femenino";2;8
"1102";29,4;1,305;69;5,5;10;5,5;8;5,5;7;15;8;20;21,4;54,6;70;26,5;5,4;7,9;0;-1;0;10;6;12;10;125;92;4,44;4,37;17,91;14,66;1;"femenino";2;8
"1103";38,3;1,452;74,5;10;12;14;24;15;25;18;12;21;22;60,5;75;30,1;5,5;8,1;-3;-2;-1;12;12;12;12;100;100;4,64;4,81;14,97;15,22;1,5;"femenino";2;10
"1104";23,7;1,26;67,5;9;11;5,5;7,5;4;6,5;14;8;17;17,5;52,5;65,1;23,5;5,2;7,7;5;3;5;9;10;9;9;80;80;5,06;5,09;15,38;16,53;1,5;"femenino";3;8
"1105";27,9;1,197;63,5;11;17;10;20;16;26;15;15;20,3;21;60,2;70;26,4;5,2;7,3;4;2;3;12;12;12;11;98;98;5,13;4,85;16,5;16,06;1,5;"femenino";3;8
